都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
香川県,17800,16400,11900,16800,21800,19200,,,17700,18300,18300,17800,20900,17100,15800,27100,32000,20400,24800,20700,26600,23000,24000,25800,19000,29100,20600,35900,,18500,19500,,18600,,19300,17600,18400,19200,,,,,17700,,,19900,17600,10900,9600
愛媛県,16700,14300,11500,16600,21400,19000,,,17300,17300,18200,17700,20800,17300,15400,26900,31900,20300,24700,20600,26500,22900,23900,24900,19800,29100,20100,35600,,18200,19500,,18500,,19200,17000,18300,18900,,,,,17600,,,19900,17600,10300,8800
高知県,17300,14700,12300,16900,22300,19300,,,17300,17400,18300,18000,20900,17700,15700,27100,32100,20400,24700,20700,26700,23100,24000,25400,18800,29100,19800,35500,,18300,19500,,18200,,19100,16800,18400,18900,,,,,17700,,,20000,17600,9800,8300
福岡県,18200,16200,11200,16300,19600,19000,21300,20600,17400,18300,16500,19000,19800,17600,15200,27100,32100,24400,23700,19900,27000,22000,24000,27000,20100,25200,19100,31200,19700,19800,,23700,18300,19300,18500,16400,16700,18200,17400,,23000,18400,18400,,14900,18100,17700,10300,9100
佐賀県,15800,13700,10900,16200,19200,17700,21600,20700,17100,17900,16700,19300,19400,19400,15600,27100,32100,24500,24100,19500,27000,22000,24100,27200,19100,25000,19100,31300,19700,19800,,23600,19700,19400,18600,15800,16700,18300,17500,,23000,18400,18400,,14500,18100,17700,10100,8800
長崎県,16700,14400,11500,16800,19000,17500,21900,20600,16200,17800,16100,19000,19000,16500,14300,27100,32100,24500,24600,19500,27000,22000,24000,27100,18800,24000,18300,31000,19500,19600,,24300,18000,19300,18400,16100,16700,18000,17500,,22800,19000,18400,,15000,18100,17700,10300,9000
熊本県,17000,14800,12200,16500,20000,18300,21600,20400,16100,18300,16300,19000,19400,17200,14900,27100,32100,24500,24600,19500,27000,22000,24000,26100,19400,25100,18500,31200,19600,19700,,24200,18100,19400,18100,15700,16700,18100,17400,,22900,18300,18400,,14600,18100,17400,10000,8600
大分県,16200,13800,11400,16200,18600,18100,21300,20200,15700,18300,16600,18200,19100,18400,16700,27100,32100,24400,24100,19400,27000,22000,24000,26500,19800,25100,18800,31200,19600,19700,,24000,17500,19100,18300,15500,16700,18200,17400,,22500,18400,18400,,14300,18100,17400,10100,8200
宮崎県,18200,13500,11600,16300,18800,18300,21600,20200,15300,17300,16500,18700,18700,18400,15600,27100,32100,24400,25100,19400,27000,22000,24000,27000,20000,24000,18300,31200,19500,19600,,23800,18500,19100,18200,15400,16700,17900,17400,,22400,18300,18400,,14600,18100,17400,10200,7900
鹿児島県,20000,14700,12400,16000,21600,18600,21600,20200,15700,18200,16500,18900,19300,20500,17900,27100,32100,24500,25000,19500,27000,22000,24100,27200,21600,23900,18300,31300,19600,19700,,23900,20300,19500,18500,15400,16700,18000,17500,,22500,18100,18400,,14300,18100,17400,10900,9300
沖縄県,18000,15700,11900,,,22100,,15000,14600,20100,17900,19100,19100,20400,18000,27200,32200,22500,22900,18500,26000,25900,20900,31000,21400,21200,18900,36900,22600,24500,,,20700,,20000,14900,,23800,,,17600,,17600,,14000,,,9100,8000
