id,適用日,職種,都道府県,労務単価
52,2015/02/01,交通誘導警備員B,秋田県,8700
5,2015/02/01,特殊作業員,山形県,18700
6,2015/02/01,普通作業員,山形県,14700
7,2015/02/01,軽作業員,山形県,12400
8,2015/02/01,造園工,山形県,17800
9,2015/02/01,法面工,山形県,20000
10,2015/02/01,とび工,山形県,19000
11,2015/02/01,石工,山形県,
12,2015/02/01,ブロック工,山形県,
13,2015/02/01,電工,山形県,17600
14,2015/02/01,鉄筋工,山形県,21200
15,2015/02/01,鉄骨工,山形県,19400
16,2015/02/01,塗装工,山形県,20600
17,2015/02/01,溶接工,山形県,20800
18,2015/02/01,運転手（特殊）,山形県,19300
19,2015/02/01,運転手（一般）,山形県,17600
20,2015/02/01,潜かん工,山形県,27600
21,2015/02/01,潜かん世話役,山形県,32700
22,2015/02/01,さく岩工,山形県,22800
23,2015/02/01,トンネル特殊工,山形県,28900
24,2015/02/01,トンネル作業員,山形県,21200
25,2015/02/01,トンネル世話役,山形県,29500
26,2015/02/01,橋りょう特殊工,山形県,24200
27,2015/02/01,橋りょう塗装工,山形県,25900
28,2015/02/01,橋りょう世話役,山形県,29400
29,2015/02/01,土木一般世話役,山形県,21700
30,2015/02/01,高級船員,山形県,24300
31,2015/02/01,普通船員,山形県,19900
32,2015/02/01,潜水士,山形県,38800
33,2015/02/01,潜水連絡員,山形県,23900
34,2015/02/01,潜水送気員,山形県,24300
35,2015/02/01,山林砂防工,山形県,
36,2015/02/01,軌道工,山形県,23700
37,2015/02/01,型わく工,山形県,21200
38,2015/02/01,大工,山形県,19800
39,2015/02/01,左官,山形県,20600
40,2015/02/01,配管工,山形県,18300
41,2015/02/01,はつり工,山形県,19200
42,2015/02/01,防水工,山形県,20800
43,2015/02/01,板金工,山形県,19800
44,2015/02/01,タイル工,山形県,18800
45,2015/02/01,サッシ工,山形県,20900
46,2015/02/01,内装工,山形県,20000
47,2015/02/01,ガラス工,山形県,18300
48,2015/02/01,建具工,山形県,15600
49,2015/02/01,ダクト工,山形県,17600
50,2015/02/01,保温工,山形県,18900
51,2015/02/01,設備機械工,山形県,17900
52,2015/02/01,交通誘導警備員A,山形県,11400
53,2015/02/01,交通誘導警備員B,山形県,9800
6,2015/02/01,特殊作業員,福島県,21000
7,2015/02/01,普通作業員,福島県,16300
8,2015/02/01,軽作業員,福島県,14000
9,2015/02/01,造園工,福島県,18300
10,2015/02/01,法面工,福島県,23100
11,2015/02/01,とび工,福島県,21700
12,2015/02/01,石工,福島県,
